Annu_Salary,Expe_Yrs,Skill_lev
4000,0,0.5
6000,1,1
8000,2,1.5
10000,3,2
12000,4,2.5
14000,4.5,3.5
16000,5,4
14000,4,4
18000,6,4
20000,7,4.5
22000,8,5
10000,2,3
9000,2,2.5
9000,2.5,2
8000,1,3
11000,3,2.5
13000,4.25,2.7
7000,1,1.5
7000,1.5,1
11000,3.5,2
13000,4.5,2.6
17000,5,4.5
17000,5.5,4
21000,7.5,4.5
21000,7.25,4.7
15000,5.5,3
15000,5,3.5
6000,0,2
21000,7.4,4.6
13000,4.2,3.1
22000,8.25,4.7
22000,8.5,4.5
16000,5.25,3.7
16000,5.5,3.5
16000,5.75,3.2
18000,6.25,3.7
18000,6.5,3.5
20000,7.5,4
20000,7.25,4.2
10000,2.5,2.5
10000,2.75,2.2
10000,2.25,2.7
15000,5.5,3
15000,5,3.5
19000,6.5,4
19000,6.3,4.2
5000,0.5,0.5
6000,0.75,1
